,Feature Number,X Disp,Y Disp,X Abs,Y Abs
292,292,67.16797828674316,34.1046142578125,4253.470659255981,3359.724655151367
293,293,81.35550498962402,33.90693664550781,4808.255996704102,3971.2105560302734
294,294,75.61062812805176,34.567108154296875,4647.874946594238,3836.61075592041
295,295,81.05795860290527,34.534149169921875,4933.51035118103,4160.991897583008
296,296,82.07173347473145,34.92927551269531,4983.597621917725,4179.138069152832
297,297,86.07470512390137,23.546314239501953,4972.1630859375,3758.451976776123
298,298,81.94378852844238,28.995895385742188,4694.894943237305,3666.950798034668
299,299,84.52337265014648,28.272056579589844,4995.516529083252,3954.5642471313477
300,300,79.88250732421875,32.24403381347656,4645.498208999634,3764.3136596679688
301,301,79.15417671203613,28.30486297607422,4490.567350387573,3469.287452697754
302,302,72.0758056640625,32.83702850341797,4526.8049240112305,3690.7558059692383
303,303,70.82399368286133,32.90302276611328,4448.846769332886,3599.5753860473633
304,304,69.42363739013672,33.211212158203125,4371.547136306763,3503.3605194091797
305,305,75.4603385925293,35.0018310546875,4675.867967605591,3921.5860748291016
306,306,67.17530250549316,34.10484313964844,4253.0402183532715,3349.743194580078
307,307,67.88483619689941,33.09516906738281,4282.09942817688,3388.4622955322266
308,308,67.22210884094238,34.073219299316406,4258.5426235198975,3370.124168395996
309,309,76.30044937133789,36.992645263671875,4776.535348892212,4109.5158767700195
310,310,68.78422737121582,32.99072265625,4339.633226394653,3487.414093017578
311,311,69.89049911499023,32.412872314453125,4402.444267272949,3557.830123901367
312,312,70.59419631958008,32.05894470214844,4447.954759597778,3611.0186767578125
313,313,67.19504356384277,26.768569946289062,4288.100996017456,3308.463592529297
314,314,69.2266845703125,28.085784912109375,4391.399087905884,3389.7813415527344
315,315,69.9576473236084,29.401283264160156,4428.5466957092285,3460.903434753418
316,316,70.32978057861328,30.57109832763672,4443.26717376709,3519.789237976074
317,317,70.38505554199219,31.488800048828125,4439.731521606445,3558.829345703125
318,318,68.71762275695801,32.68760681152344,4331.482629776001,3482.8748321533203
319,319,68.70861053466797,32.271690368652344,4334.379558563232,3459.484443664551
320,320,68.50032806396484,31.721572875976562,4327.35915184021,3420.971450805664
321,321,68.26020240783691,30.75225830078125,4313.674564361572,3370.4014587402344
322,322,70.2077579498291,34.65667724609375,4443.546838760376,3603.562469482422
323,323,65.9743881225586,22.458038330078125,3786.3491821289062,2596.373977661133
324,324,67.88844108581543,33.325042724609375,4282.929267883301,3432.011947631836
325,325,67.93519020080566,33.25569152832031,4286.115474700928,3413.812789916992
326,326,73.94591331481934,36.763763427734375,4663.760232925415,4009.270706176758
327,327,74.8033618927002,34.3121337890625,4605.54141998291,3795.9496307373047
328,328,74.46212768554688,36.59599304199219,4675.308208465576,4008.6978149414062
329,329,75.49046516418457,30.537071228027344,4595.084438323975,3703.4544372558594
330,330,75.31900405883789,31.895408630371094,4564.1014766693115,3659.00936126709
331,331,75.50431251525879,34.17121887207031,4632.467393875122,3818.7621307373047
332,332,84.70939636230469,25.406532287597656,4788.3380699157715,3620.1179122924805
333,333,84.0366268157959,29.007339477539062,4873.902311325073,3838.385887145996
334,334,82.17487335205078,34.65484619140625,4924.7882080078125,4103.967552185059
335,335,66.57540321350098,28.978652954101562,4243.778228759766,3259.3626403808594
336,336,80.93899726867676,33.99444580078125,4979.119176864624,4208.643379211426
337,337,83.6660385131836,26.480751037597656,5028.4093952178955,3992.300910949707
338,338,85.40307998657227,20.880088806152344,5043.750600814819,3811.324996948242
339,339,76.76871299743652,26.726036071777344,4599.1954135894775,3607.47314453125
340,340,76.68869018554688,30.34076690673828,4424.391231536865,3450.3916549682617
341,341,77.39871025085449,27.647476196289062,4674.1442584991455,3751.0010147094727
342,342,78.14486503601074,29.482345581054688,4617.004508972168,3684.2950439453125
343,343,76.65573120117188,30.583572387695312,4697.729387283325,3880.2394485473633
